               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.033422,            0.012189,            0.019958,             0.92896,                0.95,             0.94255,             0.67212,            0.016428,           0.0052908,           0.0085529,           0.0074854,           0.0074854,           0.0074854
                 129,            0.025291,             0.01143,            0.014255,             0.75274,                0.95,             0.86526,             0.57692,            0.022005,           0.0052581,           0.0083627,           0.0074656,           0.0074656,           0.0074656
                 130,            0.037702,            0.011696,            0.018568,             0.75274,                0.95,             0.86526,             0.57692,            0.022005,           0.0052581,           0.0083627,           0.0074458,           0.0074458,           0.0074458
                 131,            0.041152,            0.010853,            0.020367,             0.93165,                0.95,             0.92947,             0.58316,            0.022717,           0.0051948,            0.008284,            0.007426,            0.007426,            0.007426
                 132,            0.032565,            0.010076,            0.015429,             0.93165,                0.95,             0.92947,             0.58316,            0.022717,           0.0051948,            0.008284,           0.0074062,           0.0074062,           0.0074062
                 133,            0.031764,             0.01308,            0.019765,             0.73662,                0.95,             0.92682,             0.66213,            0.018041,           0.0050778,           0.0081743,           0.0073864,           0.0073864,           0.0073864
                 134,            0.041839,            0.010303,            0.019117,             0.73662,                0.95,             0.92682,             0.66213,            0.018041,           0.0050778,           0.0081743,           0.0073666,           0.0073666,           0.0073666
                 135,            0.030256,           0.0087165,            0.019331,             0.76259,             0.90484,             0.85751,             0.44296,            0.023791,            0.005063,           0.0080514,           0.0073468,           0.0073468,           0.0073468
                 136,            0.037657,            0.012898,            0.017415,             0.76259,             0.90484,             0.85751,             0.44296,            0.023791,            0.005063,           0.0080514,            0.007327,            0.007327,            0.007327
                 137,            0.038085,            0.011099,            0.015435,             0.73183,              0.9065,             0.92682,             0.60636,            0.022446,           0.0050933,           0.0079972,           0.0073072,           0.0073072,           0.0073072
                 138,             0.03795,            0.015016,             0.01817,             0.73183,              0.9065,             0.92682,             0.60636,            0.022446,           0.0050933,           0.0079972,           0.0072874,           0.0072874,           0.0072874
                 139,            0.036842,            0.010504,             0.01573,             0.67072,                 0.9,             0.84089,             0.47625,            0.021106,           0.0050183,           0.0080356,           0.0072676,           0.0072676,           0.0072676
                 140,             0.02882,           0.0084426,            0.019119,             0.67072,                 0.9,             0.84089,             0.47625,            0.021106,           0.0050183,           0.0080356,           0.0072478,           0.0072478,           0.0072478
                 141,            0.036827,           0.0084275,            0.032542,              0.7724,             0.92032,             0.94714,             0.59474,            0.019419,           0.0049327,           0.0080407,            0.007228,            0.007228,            0.007228
                 142,            0.030638,            0.009917,            0.022413,              0.7724,             0.92032,             0.94714,             0.59474,            0.019419,           0.0049327,           0.0080407,           0.0072082,           0.0072082,           0.0072082
                 143,            0.031442,             0.01183,            0.016117,             0.65678,                 0.9,             0.78964,             0.45817,             0.02385,           0.0049706,           0.0080308,           0.0071884,           0.0071884,           0.0071884
                 144,            0.044298,           0.0082887,            0.017554,             0.65678,                 0.9,             0.78964,             0.45817,             0.02385,           0.0049706,           0.0080308,           0.0071686,           0.0071686,           0.0071686
                 145,            0.037223,            0.010779,             0.02712,             0.89467,                0.95,             0.96073,             0.70068,            0.016403,           0.0049094,           0.0080102,           0.0071488,           0.0071488,           0.0071488
                 146,            0.034961,           0.0088474,            0.020686,             0.89467,                0.95,             0.96073,             0.70068,            0.016403,           0.0049094,           0.0080102,            0.007129,            0.007129,            0.007129
                 147,            0.036215,            0.010691,            0.016858,             0.57031,                0.95,             0.78013,             0.37204,            0.023438,           0.0050181,           0.0078685,           0.0071092,           0.0071092,           0.0071092
                 148,            0.031207,           0.0082207,            0.028151,             0.57031,                0.95,             0.78013,             0.37204,            0.023438,           0.0050181,           0.0078685,           0.0070894,           0.0070894,           0.0070894
                 149,             0.03676,            0.010916,            0.020576,             0.79004,                0.95,             0.93717,             0.57903,            0.016972,           0.0051291,           0.0078506,           0.0070696,           0.0070696,           0.0070696
                 150,            0.031345,           0.0091983,            0.017958,             0.79004,                0.95,             0.93717,             0.57903,            0.016972,           0.0051291,           0.0078506,           0.0070498,           0.0070498,           0.0070498
                 151,            0.032664,           0.0087733,            0.020148,             0.92876,                0.95,             0.95182,             0.63649,             0.01582,           0.0049801,           0.0077126,             0.00703,             0.00703,             0.00703
                 152,            0.030171,           0.0096814,             0.01704,             0.92876,                0.95,             0.95182,             0.63649,             0.01582,           0.0049801,           0.0077126,           0.0070102,           0.0070102,           0.0070102
                 153,            0.028593,            0.011382,            0.015118,             0.71128,                0.95,             0.93605,             0.41494,             0.02576,            0.005316,           0.0076686,           0.0069904,           0.0069904,           0.0069904
                 154,            0.034709,           0.0096241,            0.026473,             0.71128,                0.95,             0.93605,             0.41494,             0.02576,            0.005316,           0.0076686,           0.0069706,           0.0069706,           0.0069706
                 155,            0.033577,           0.0093253,            0.015047,             0.86623,                 0.9,             0.94971,             0.74835,            0.016047,           0.0049886,           0.0075963,           0.0069508,           0.0069508,           0.0069508
                 156,            0.037727,           0.0082495,            0.015479,             0.86623,                 0.9,             0.94971,             0.74835,            0.016047,           0.0049886,           0.0075963,            0.006931,            0.006931,            0.006931
                 157,            0.035934,            0.011494,            0.015303,             0.93081,                0.95,             0.95623,             0.73383,            0.014516,           0.0048881,           0.0074946,           0.0069112,           0.0069112,           0.0069112
                 158,            0.030313,            0.014074,             0.01515,             0.93081,                0.95,             0.95623,             0.73383,            0.014516,           0.0048881,           0.0074946,           0.0068914,           0.0068914,           0.0068914
